ml;pH;sec;°C
0.000;8.062;0.0;23.4
0.000;8.062;0.4;23.4
0.000;8.062;0.8;23.4
0.007;8.062;1.9;23.4
0.015;8.062;3.0;23.4
0.022;8.058;4.2;23.4
0.030;8.054;5.3;23.4
0.037;8.047;6.5;23.4
0.045;8.039;7.6;23.4
0.053;8.030;8.7;23.4
0.060;8.017;9.9;23.4
0.068;8.005;11.0;23.4
0.075;7.991;12.2;23.4
0.083;7.977;13.3;23.4
0.091;7.961;14.4;23.4
0.098;7.944;15.6;23.4
0.106;7.927;16.7;23.4
0.113;7.909;17.9;23.4
0.121;7.890;19.0;23.4
0.129;7.869;20.1;23.4
0.136;7.846;21.3;23.4
0.144;7.823;22.4;23.4
0.152;7.799;23.6;23.4
0.159;7.776;24.7;23.4
0.167;7.749;25.9;23.4
0.174;7.721;27.0;23.4
0.182;7.694;28.1;23.4
0.190;7.665;29.3;23.4
0.197;7.634;30.4;23.4
0.205;7.602;31.6;23.4
0.212;7.570;32.7;23.4
0.220;7.537;33.8;23.4
0.228;7.505;35.0;23.4
0.235;7.473;36.1;23.4
0.243;7.441;37.3;23.4
0.250;7.410;38.4;23.4
0.258;7.381;39.5;23.4
0.266;7.352;40.7;23.4
0.273;7.325;41.8;23.4
0.281;7.299;43.0;23.4
0.289;7.274;44.1;23.4
0.296;7.250;45.2;23.4
0.304;7.227;46.4;23.4
0.311;7.204;47.5;23.4
0.319;7.175;48.7;23.4
0.327;7.153;49.8;23.4
0.334;7.132;51.0;23.4
0.342;7.111;52.1;23.4
0.349;7.092;53.2;23.4
0.357;7.073;54.4;23.4
0.365;7.053;55.5;23.4
0.372;7.034;56.7;23.4
0.380;7.014;57.8;23.4
0.387;6.995;58.9;23.4
0.395;6.977;60.1;23.4
0.403;6.959;61.2;23.4
0.410;6.942;62.4;23.4
0.418;6.924;63.5;23.4
0.425;6.907;64.6;23.4
0.433;6.890;65.8;23.4
0.441;6.874;66.9;23.4
0.448;6.857;68.1;23.4
0.456;6.841;69.2;23.4
0.464;6.825;70.3;23.4
0.471;6.808;71.5;23.4
0.479;6.792;72.6;23.4
0.486;6.776;73.8;23.4
0.494;6.760;74.9;23.4
0.502;6.743;76.0;23.4
0.509;6.726;77.2;23.4
0.517;6.711;78.3;23.4
0.524;6.695;79.5;23.4
0.532;6.680;80.6;23.4
0.540;6.662;81.7;23.4
0.547;6.646;82.9;23.4
0.555;6.630;84.0;23.4
0.562;6.615;85.2;23.4
0.570;6.597;86.3;23.4
0.578;6.578;87.5;23.4
0.585;6.563;88.6;23.4
0.593;6.547;89.7;23.4
0.601;6.530;90.9;23.4
0.608;6.512;92.0;23.4
0.616;6.496;93.2;23.4
0.623;6.481;94.3;23.4
0.631;6.465;95.4;23.4
0.639;6.448;96.6;23.4
0.646;6.433;97.7;23.4
0.654;6.417;98.9;23.4
0.661;6.401;100.0;23.4
0.669;6.384;101.1;23.4
0.677;6.368;102.3;23.4
0.684;6.352;103.4;23.4
0.692;6.334;104.6;23.4
0.699;6.318;105.7;23.4
0.707;6.300;106.8;23.4
0.715;6.282;108.0;23.4
0.722;6.264;109.1;23.4
0.730;6.243;110.3;23.4
0.738;6.226;111.4;23.4
0.745;6.209;112.5;23.4
0.753;6.192;113.7;23.4
0.760;6.174;114.8;23.4
0.768;6.156;116.0;23.4
0.776;6.138;117.1;23.4
0.783;6.119;118.3;23.4
0.791;6.101;119.4;23.4
0.798;6.079;120.5;23.4
0.806;6.059;121.7;23.4
0.814;6.037;122.8;23.4
0.821;6.018;124.0;23.4
0.829;5.999;125.1;23.4
0.836;5.979;126.2;23.4
0.844;5.958;127.4;23.4
0.852;5.936;128.5;23.4
0.859;5.914;129.7;23.4
0.867;5.892;130.8;23.4
0.875;5.871;131.9;23.4
0.882;5.851;133.1;23.4
0.890;5.832;134.2;23.4
0.897;5.807;135.4;23.4
0.905;5.786;136.5;23.4
0.913;5.763;137.6;23.4
0.920;5.741;138.8;23.4
0.928;5.716;139.9;23.4
0.935;5.686;141.1;23.4
0.943;5.657;142.2;23.4
0.951;5.628;143.3;23.4
0.958;5.599;144.5;23.4
0.966;5.573;145.6;23.4
0.973;5.543;146.8;23.4
0.981;5.515;147.9;23.4
0.989;5.486;149.0;23.4
0.996;5.461;150.2;23.4
1.004;5.432;151.3;23.4
1.011;5.398;152.5;23.4
1.019;5.361;153.6;23.4
1.027;5.325;154.8;23.4
1.034;5.287;155.9;23.4
1.042;5.244;157.0;23.4
1.050;5.197;158.2;23.4
1.057;5.145;159.3;23.4
1.065;5.095;160.5;23.4
1.072;5.060;161.6;23.4
1.080;5.008;162.7;23.4
1.088;4.956;163.9;23.4
1.091;4.931;164.4;23.4
1.101;4.642;186.1;23.5
1.111;4.563;197.7;23.5
1.121;4.463;209.3;23.5
1.131;4.379;220.9;23.5
1.141;4.282;232.5;23.5
1.151;4.210;244.1;23.5
1.161;4.127;255.7;23.5
1.171;4.067;267.3;23.5
1.181;4.001;278.9;23.6
1.191;3.954;290.5;23.6
1.201;3.899;302.0;23.6
1.211;3.858;313.6;23.6
1.221;3.814;325.2;23.6
1.231;3.781;336.8;23.6
1.241;3.744;348.4;23.6
1.251;3.716;360.0;23.6
1.261;3.685;371.6;23.6
1.271;3.660;383.2;23.6
1.281;3.632;394.8;23.6
1.291;3.610;406.4;23.6
1.301;3.584;418.0;23.6
1.311;3.563;429.6;23.6
1.321;3.538;441.2;23.6
1.331;3.518;452.7;23.7
1.341;3.495;464.3;23.6
1.351;3.478;475.9;23.7
1.351;3.478;486.0;23.7
