Incub_day,Titr_date,Sample_ID,Ws,Notes,Sal
NA,08.12.2019,wu1,51.21,NA,NA
NA,08.12.2019,wu2,51.153,NA,NA
NA,08.12.2019,wu3,50.728,NA,NA
NA,08.12.2019,wu4,50.875,NA,NA
NA,08.12.2019,wu5,50.962,NA,NA
NA,08.12.2019,wu6,50.996,NA,NA
NA,08.12.2019,wu7,50.684,NA,NA
NA,08.12.2019,wu8,50.95,NA,NA
NA,08.12.2019,wu9,50.839,NA,NA
NA,08.12.2019,wu10,51.081,NA,NA
NA,08.12.2019,Dick1,50.577,NA,33.4
1,08.12.2019,B_6_9_d1,50.959,NA,35
1,08.12.2019,S_60_11or3_d1,50.989,NA,35
1,08.12.2019,B_53_1_d1,50.929,NA,35
1,08.12.2019,WB2_d1,50.922,NA,35
1,08.12.2019,S_60_3or11_d1,50.914,NA,35
1,08.12.2019,B_6_18_d1,50.93,NA,35
1,08.12.2019,B_60_1_d1,50.926,NA,35
1,08.12.2019,B_6_8_d1,50.959,NA,35
1,08.12.2019,S_53_18_d1,50.954,NA,35
1,08.12.2019,C1_d1,50.926,NA,35
1,08.12.2019,S_6_4_d1,50.925,NA,35
1,08.12.2019,B_60_10_d1,50.936,NA,35
2,08.12.2019,B_6_22_d2,50.914,NA,35
1,08.12.2019,B_60_29_d1,50.942,NA,35
1,08.12.2019,S_6_19_d1,50.947,NA,35
1,08.12.2019,S_53_10_d1,50.927,NA,35
1,08.12.2019,S_60_4_d1,50.942,NA,35
1,08.12.2019,C2_d1,50.931,NA,35
1,08.12.2019,WB1_d1,50.947,NA,35
1,08.12.2019,S_6_13_d1,50.947,NA,35
1,08.12.2019,B_53_26_d1,50.928,NA,35
NA,08.12.2019,Dick2,50.594,NA,33.4
1,08.12.2019,B_60_16_d1,50.903,NA,35
1,08.12.2019,B_53_23_d1,50.908,NA,35
1,08.12.2019,B_6_6_d1,50.955,NA,35
1,08.12.2019,B_6_15_d1,50.923,NA,35
1,08.12.2019,C3_d1,50.942,NA,35
1,08.12.2019,S_60_17_d1,50.917,NA,35
1,08.12.2019,S_53_32_d1,50.927,NA,35
2,08.12.2019,S_60_24_d2,50.978,NA,35
2,08.12.2019,B_53_19_d2,50.917,NA,35
2,08.12.2019,C1_d2,50.953,NA,35
2,08.12.2019,B_60_19_d2,50.946,NA,35
2,08.12.2019,S_60_18_d2,50.947,NA,35
2,08.12.2019,WB11_d2,50.938,NA,35
2,08.12.2019,B_60_27_d2,50.952,NA,35
2,08.12.2019,S_6_10_d2,50.952,NA,35
2,08.12.2019,C2_d2,50.955,NA,35
2,08.12.2019,C3_d2,50.956,NA,35
2,08.12.2019,WB22_d2,50.959,NA,35
2,08.12.2019,S_60_2_d2,50.956,NA,35
2,08.12.2019,S_53_2_d2,50.952,NA,35
2,08.12.2019,B_60_8_d2,50.951,NA,35
NA,08.12.2019,Dick3,50.507,NA,33.4
2,08.12.2019,WB21_d2,50.953,NA,35
2,08.12.2019,S_6_14_d1,50.954,NA,35
2,08.12.2019,S_53_16_d1,50.954,NA,35
2,08.12.2019,WB12_d2,50.956,NA,35
2,08.12.2019,B_53_40_d2,50.955,NA,35
NA,09.12.2019,wu11,50.735,NA,NA
NA,09.12.2019,wu12,50.744,NA,NA
NA,09.12.2019,wu13,50.875,NA,NA
NA,09.12.2019,wu14,50.801,NA,NA
NA,09.12.2019,wu15,50.732,NA,NA
NA,09.12.2019,wu16,50.741,NA,NA
NA,09.12.2019,Dick4,50.54,NA,33.4
2,09.12.2019,S_6_26_d2,50.961,NA,35
2,09.12.2019,S_53_33_d2,50.953,NA,35
2,09.12.2019,B_6_17_d2,50.952,NA,35
2,09.12.2019,B_60_26_d2,50.947,NA,35
2,09.12.2019,S_53_7_d2,50.96,NA,35
2,09.12.2019,S_53_8_d2,50.953,NA,35
2,09.12.2019,B_53_21_d2,50.958,NA,35
2,09.12.2019,B_53_42_d2,50.952,NA,35
2,09.12.2019,B_6_29_d2,50.956,NA,35
2,09.12.2019,S_6_28_d2,50.956,NA,35
2,09.12.2019,S_6_32_d2,50.955,NA,35
NA,09.12.2019,wu17,50.747,NA,NA
3,09.12.2019,C1_d3,50.955,NA,35
3,09.12.2019,B_60_19_d3,50.958,NA,35
3,09.12.2019,S_6_26_d3,50.954,NA,35
3,09.12.2019,B_60_8_d3,50.943,NA,35
3,09.12.2019,S_53_33_d3,50.952,NA,35
NA,09.12.2019,wu18,50.77,NA,NA
3,09.12.2019,B_53_40_d3,50.949,NA,35
NA,09.12.2019,wu19,50.728,NA,NA
NA,09.12.2019,wu20,50.715,NA,NA
3,09.12.2019,B_6_29_d3,50.953,NA,35
NA,09.12.2019,wu21,50.722,NA,NA
3,09.12.2019,WB21_d3,50.953,NA,35
NA,09.12.2019,Dick5,50.543,NA,33.4
3,09.12.2019,C2_d3,50.95,NA,35
3,09.12.2019,S_6_28_d3,50.956,NA,35
3,09.12.2019,S_60_13-20_d3,50.949,check if 20 or 13 this day!,35
3,09.12.2019,WB11_d3,50.955,NA,35
3,09.12.2019,S_60_2_d3,50.954,NA,35
3,09.12.2019,B_53_21_d3,50.958,NA,35
3,09.12.2019,S_6_10_d3,50.945,NA,35
3,09.12.2019,S_53_7_d3,50.963,NA,35
3,09.12.2019,C3_d3,50.953,NA,35
3,09.12.2019,WB22_d3,50.948,NA,35
3,09.12.2019,B_60_26_d3,50.949,NA,35
3,09.12.2019,B_60_27_d3,50.964,NA,35
3,09.12.2019,S_60_18_d3,50.963,NA,35
3,09.12.2019,B_53_42_d3,50.932,NA,35
3,09.12.2019,B_6_22_d3,50.97,NA,35
3,09.12.2019,B_6_8_d3,50.94,NA,35
3,09.12.2019,S_53_8_d3,50.95,NA,35
3,09.12.2019,S_60_24_d3,50.948,NA,35
3,09.12.2019,S_6_32_d3,50.921,NA,35
3,09.12.2019,B_53_19_d3,50.931,NA,35
3,09.12.2019,WB12_d3,50.933,NA,35
NA,09.12.2019,Dick6,50.542,NA,33.4
3,09.12.2019,S_53_2_d3,50.944,NA,35
3,09.12.2019,B_6_17_d3,50.927,NA,35
4,09.12.2019,WB12_d4,50.925,NA,34.9
4,09.12.2019,S_6_10_d4,50.948,NA,34.9
4,09.12.2019,B_6_8_d4,50.963,NA,34.9
4,09.12.2019,S_60_2_d4,50.965,NA,34.9
4,09.12.2019,S_53_2_d4,50.94,NA,34.9
4,09.12.2019,B_6_17_d4,50.965,NA,34.9
4,09.12.2019,S_6_28_d4,50.95,NA,34.9
4,09.12.2019,C1_d4,50.943,NA,34.9
4,09.12.2019,B_60_19_d4,50.951,NA,34.9
4,09.12.2019,S_60_13_d4,50.944,NA,34.9
4,09.12.2019,S_53_7_d4,50.951,NA,34.9
4,09.12.2019,S_53_33_d4,50.96,NA,34.9
4,09.12.2019,WB11_d4,50.95,NA,34.9
4,09.12.2019,S_6_32_d4,50.944,NA,34.9
4,09.12.2019,B_53_19_d4,50.955,ESC and then started again…,34.9
4,09.12.2019,S_60_24_d4,50.946,NA,34.9
4,09.12.2019,S_60_18_d4,50.945,NA,34.9
4,09.12.2019,C2_d4,50.952,NA,34.9
4,09.12.2019,B_6_22_d4,50.963,NA,34.9
NA,09.12.2019,Dick7,50.542,NA,33.4
NA,10.12.2019,wu22,50.763,NA,NA
NA,10.12.2019,wu23,50.725,NA,NA
NA,10.12.2019,wu24,50.746,NA,NA
NA,10.12.2019,wu25,50.703,NA,NA
NA,10.12.2019,Dick8,50.559,NA,33.4
4,10.12.2019,B_53_42_d4,50.935,NA,34.9
4,10.12.2019,WB21_d4,50.933,NA,34.9
4,10.12.2019,B_6_29_d4,50.944,NA,34.9
4,10.12.2019,B_60_27_d4,50.963,NA,34.9
4,10.12.2019,B_60_8_d4,50.941,NA,34.9
